N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
519	CA217	QL4	H25	zo	zo	C	1	ma no ta zo	ma no ta zo	4	z	o	z	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
520	CA217	QL4	H25	ba	ba	C	1	ba rre yo	ba rre yo	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
521	CA217	QL4	H25	rre	rre	C	1	ba rre yo	ba rre yo	3	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
522	CA217	QL4	H25	yo	yo	C	1	ba rre yo	ba rre yo	3	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
523	CA217	QL4	H25	se	se	C	1	se nyo ri ba	se nyo ri ba	4	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
524	CA217	QL4	H25	nyo	nyo	C	1	se nyo ri ba	se nyo ri ba	4	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
525	CA217	QL4	H25	ri	ri	C	1	se nyo ri ba	se nyo ri ba	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
526	CA217	QL4	H25	ba	ba	C	1	se nyo ri ba	se nyo ri ba	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
527	CA217	QL4	H25	tu	tu	C	1	tu zo	tu zo	2	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
528	CA217	QL4	H25	zo	zo	C	1	tu zo	tu zo	2	z	o	z	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
0	CA226	QL1	M17	ya	ya	C	1	ya te	ya te	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
1	CA226	QL1	M17	te	te	C	1	ya te	ya te	2	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
2	CA226	QL1	M17	no	no	C	1	no lu	no lu	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
3	CA226	QL1	M17	lu	lu	C	1	no lu	no lu	2	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
4	CA226	QL1	M17	chu	chu	C	1	chu lo	chu lo	2	ch	u	ch	u	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
5	CA226	QL1	M17	lo	lo	C	1	chu lo	chu lo	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
6	CA226	QL1	M17	pa	pa	C	1	pa ba ri mo	pa ba ri mo	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
7	CA226	QL1	M17	ba	ba	C	1	pa ba ri mo	pa ba ri mo	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
8	CA226	QL1	M17	ri	ri	C	1	pa ba ri mo	pa ba ri mo	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
9	CA226	QL1	M17	mo	mo	C	1	pa ba ri mo	pa ba ri mo	4	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
10	CA226	QL1	M17	ko	ko	C	1	ko pa di	ko pa do	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
11	CA226	QL1	M17	pa	pa	C	1	ko pa di	ko pa do	3	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
12	CA226	QL1	M17	di	do	S	0	ko pa di	ko pa do	3	d	i	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	0	1	1	1	
13	CA226	QL1	M17	li	li	C	1	li ga	li ga	2	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
14	CA226	QL1	M17	ga	ga	C	1	li ga	li ga	2	g	a	g	a	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
15	CA226	QL1	M17	be	be	C	1	be yo lu	be yo lu	3	b	e	b	e	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
16	CA226	QL1	M17	yo	yo	C	1	be yo lu	be yo lu	3	y	o	y	o	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
17	CA226	QL1	M17	lu	lu	C	1	be yo lu	be yo lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
18	CA226	QL1	M17	so	so	C	1	so te to	so te to	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
19	CA226	QL1	M17	te	te	C	1	so te to	so te to	3	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
20	CA226	QL1	M17	to	to	C	1	so te to	so te to	3	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
21	CA226	QL1	M17	ma	ma	C	1	ma re xa za	ma re xa za	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
22	CA226	QL1	M17	re	re	C	1	ma re xa za	ma re xa za	4	r	e	r	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
23	CA226	QL1	M17	xa	xa	C	1	ma re xa za	ma re xa za	4	x	a	x	a	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
24	CA226	QL1	M17	za	za	C	1	ma re xa za	ma re xa za	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
25	CA226	QL1	M17	nu	nu	C	1	nu me ro	nu me ro	3	n	u	n	u	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
26	CA226	QL1	M17	me	me	C	1	nu me ro	nu me ro	3	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
27	CA226	QL1	M17	ro	ro	C	1	nu me ro	nu me ro	3	r	o	r	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
28	CA226	QL1	M17	ka	ka	C	1	ka pi tu bo	ka pi tu bo	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
29	CA226	QL1	M17	pi	pi	C	1	ka pi tu bo	ka pi tu bo	4	p	i	p	i	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
30	CA226	QL1	M17	tu	tu	C	1	ka pi tu bo	ka pi tu bo	4	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
31	CA226	QL1	M17	bo	bo	C	1	ka pi tu bo	ka pi tu bo	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
32	CA226	QL1	M17	bi	bi	C	1	bi ka	bi ta	2	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
33	CA226	QL1	M17	ka	ta	S	0	bi ka	bi ta	2	k	a	t	a	Ocl	Vless	back	Ocl	Vless	Coronal	0	1	1	1	0	
34	CA226	QL1	M17	ba	ba	C	1	ba fe	ba fe	2	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
35	CA226	QL1	M17	fe	fe	C	1	ba fe	ba fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
36	CA226	QL1	M17	ti	ti	C	1	ti bo	ti bo	2	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
37	CA226	QL1	M17	bo	bo	C	1	ti bo	ti bo	2	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
38	CA226	QL1	M17	ka	ka	C	1	ka yi	ka yi	2	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
39	CA226	QL1	M17	yi	yi	C	1	ka yi	ka yi	2	y	i	y	i	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
40	CA226	QL1	M17	fo	fo	C	1	fo bo xe ma	fo bo xe ma	4	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
41	CA226	QL1	M17	bo	bo	C	1	fo bo xe ma	fo bo xe ma	4	b	o	b	o	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
42	CA226	QL1	M17	xe	xe	C	1	fo bo xe ma	fo bo xe ma	4	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
43	CA226	QL1	M17	ma	ma	C	1	fo bo xe ma	fo bo xe ma	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
44	CA226	QL1	M17	pa	pa	C	1	pa ne	pa ne	2	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
45	CA226	QL1	M17	ne	ne	C	1	pa ne	pa ne	2	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
46	CA226	QL1	M17	tu	tu	C	1	tu fo	tu fo	2	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
47	CA226	QL1	M17	fo	fo	C	1	tu fo	tu fo	2	f	o	f	o	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
48	CA226	QL1	M17	sa	sa	C	1	sa te li to	sa te li to	4	s	a	s	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
49	CA226	QL1	M17	te	te	C	1	sa te li to	sa te li to	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
50	CA226	QL1	M17	li	li	C	1	sa te li to	sa te li to	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
51	CA226	QL1	M17	to	to	C	1	sa te li to	sa te li to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
52	CA226	QL1	M17	fe	ze	S	0	fe cha	ze cha	2	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
53	CA226	QL1	M17	cha	cha	C	1	fe cha	ze cha	2	ch	a	ch	a	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
54	CA226	QL1	M17	pe	pe	C	1	pe mi	pe ni	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
55	CA226	QL1	M17	mi	ni	S	0	pe mi	pe ni	2	m	i	n	i	nas	Voiced	Frontal	nas	Voiced	Coronal	0	1	1	1	0	
56	CA226	QL1	M17	bi	bi	C	1	bi ne so	bi ne so	3	b	i	b	i	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
57	CA226	QL1	M17	ne	ne	C	1	bi ne so	bi ne so	3	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
58	CA226	QL1	M17	so	so	C	1	bi ne so	bi ne so	3	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
59	CA226	QL1	M17	ka	ka	C	1	ka ba ye te	ka ba ye te	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
60	CA226	QL1	M17	ba	ba	C	1	ka ba ye te	ka ba ye te	4	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
61	CA226	QL1	M17	ye	ye	C	1	ka ba ye te	ka ba ye te	4	y	e	y	e	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
62	CA226	QL1	M17	te	te	C	1	ka ba ye te	ka ba ye te	4	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
63	CA226	QL1	M17	ti	ti	C	1	ti tu lo	ti tu lo	3	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
64	CA226	QL1	M17	tu	tu	C	1	ti tu lo	ti tu lo	3	t	u	t	u	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
65	CA226	QL1	M17	lo	lo	C	1	ti tu lo	ti tu lo	3	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
66	CA226	QL1	M17	ko	ko	C	1	ko li za	ko li za	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
67	CA226	QL1	M17	li	li	C	1	ko li za	ko li za	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
68	CA226	QL1	M17	za	za	C	1	ko li za	ko li za	3	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
69	CA226	QL1	M17	ka	ka	C	1	ka rro ma do	ka rro ma do	4	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
70	CA226	QL1	M17	rro	rro	C	1	ka rro ma do	ka rro ma do	4	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
71	CA226	QL1	M17	ma	ma	C	1	ka rro ma do	ka rro ma do	4	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
72	CA226	QL1	M17	do	do	C	1	ka rro ma do	ka rro ma do	4	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
73	CA226	QL1	M17	gi	gi	C	1	gi nyo	gi nyo	2	g	i	g	i	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
74	CA226	QL1	M17	nyo	nyo	C	1	gi nyo	gi nyo	2	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
75	CA226	QL1	M17	ma	ma	C	1	ma nya da	ma nya da	3	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
76	CA226	QL1	M17	nya	nya	C	1	ma nya da	ma nya da	3	ny	a	ny	a	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
77	CA226	QL1	M17	da	da	C	1	ma nya da	ma nya da	3	d	a	d	a	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
78	CA226	QL1	M17	za	za	C	1	za fe lu di	za ze lu di	4	z	a	z	a	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
79	CA226	QL1	M17	fe	ze	S	0	za fe lu di	za ze lu di	4	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
80	CA226	QL1	M17	lu	lu	C	1	za fe lu di	za ze lu di	4	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
81	CA226	QL1	M17	di	di	C	1	za fe lu di	za ze lu di	4	d	i	d	i	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
82	CA226	QL1	M17	la	la	C	1	la ro	la ra	2	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
83	CA226	QL1	M17	ro	ra	S	0	la ro	la ra	2	r	o	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	0	1	1	1	
84	CA226	QL1	M17	zi	zi	C	1	zi ne	zi ne	2	z	i	z	i	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
85	CA226	QL1	M17	ne	ne	C	1	zi ne	zi ne	2	n	e	n	e	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
86	CA226	QL1	M17	se	se	C	1	se nyo ri ta	se nyo ri ta	4	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
87	CA226	QL1	M17	nyo	nyo	C	1	se nyo ri ta	se nyo ri ta	4	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
88	CA226	QL1	M17	ri	ri	C	1	se nyo ri ta	se nyo ri ta	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
89	CA226	QL1	M17	ta	ta	C	1	se nyo ri ta	se nyo ri ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
90	CA226	QL1	M17	no	no	C	1	no fe	no fe	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
91	CA226	QL1	M17	fe	fe	C	1	no fe	no fe	2	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
92	CA226	QL1	M17	pe	pe	C	1	pe li ku la	pe li ku la	4	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
93	CA226	QL1	M17	li	li	C	1	pe li ku la	pe li ku la	4	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
94	CA226	QL1	M17	ku	ku	C	1	pe li ku la	pe li ku la	4	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
95	CA226	QL1	M17	la	la	C	1	pe li ku la	pe li ku la	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
96	CA226	QL1	M17	mo	mo	C	1	mo de	mo de	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
97	CA226	QL1	M17	de	de	C	1	mo de	mo de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
98	CA226	QL1	M17	ku	ku	C	1	ku xo ba	ku xo ba	3	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
99	CA226	QL1	M17	xo	xo	C	1	ku xo ba	ku xo ba	3	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
100	CA226	QL1	M17	ba	ba	C	1	ku xo ba	ku xo ba	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
101	CA226	QL1	M17	fu	fu	C	1	fu xo	fu xo	2	f	u	f	u	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
102	CA226	QL1	M17	xo	xo	C	1	fu xo	fu xo	2	x	o	x	o	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
103	CA226	QL1	M17	se	se	C	1	se ku	se ku	2	s	e	s	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
104	CA226	QL1	M17	ku	ku	C	1	se ku	se ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
105	CA226	QL1	M17	to	to	C	1	to rre	to rre	2	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
106	CA226	QL1	M17	rre	rre	C	1	to rre	to rre	2	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
107	CA226	QL1	M17	do	do	C	1	do fe	do ze	2	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
108	CA226	QL1	M17	fe	ze	S	0	do fe	do ze	2	f	e	z	e	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
109	CA226	QL1	M17	ba	ba	C	1	ba rre nyo	ba rre nyo	3	b	a	b	a	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
110	CA226	QL1	M17	rre	rre	C	1	ba rre nyo	ba rre nyo	3	rr	e	rr	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
111	CA226	QL1	M17	nyo	nyo	C	1	ba rre nyo	ba rre nyo	3	ny	o	ny	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
112	CA226	QL1	M17	me	me	C	1	me la ni to	me la ni to	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
113	CA226	QL1	M17	la	la	C	1	me la ni to	me la ni to	4	l	a	l	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
114	CA226	QL1	M17	ni	ni	C	1	me la ni to	me la ni to	4	n	i	n	i	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
115	CA226	QL1	M17	to	to	C	1	me la ni to	me la ni to	4	t	o	t	o	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
116	CA226	QL1	M17	ta	ta	C	1	ta le go	ta le go	3	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
117	CA226	QL1	M17	le	le	C	1	ta le go	ta le go	3	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
118	CA226	QL1	M17	go	go	C	1	ta le go	ta le go	3	g	o	g	o	Ocl	Voiced	back	Ocl	Voiced	back	1	1	1	1	1	
119	CA226	QL1	M17	pe	pe	C	1	pe no	pe no	2	p	e	p	e	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
120	CA226	QL1	M17	no	no	C	1	pe no	pe no	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
121	CA226	QL1	M17	xe	xe	C	1	xe ra	xe ra	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
122	CA226	QL1	M17	ra	ra	C	1	xe ra	xe ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
123	CA226	QL1	M17	pa	pa	C	1	pa le ti ya	pa le ti ya	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
124	CA226	QL1	M17	le	le	C	1	pa le ti ya	pa le ti ya	4	l	e	l	e	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
125	CA226	QL1	M17	ti	ti	C	1	pa le ti ya	pa le ti ya	4	t	i	t	i	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
126	CA226	QL1	M17	ya	ya	C	1	pa le ti ya	pa le ti ya	4	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
127	CA226	QL1	M17	ka	ka	C	1	ka rro fa	ka rro fa	3	k	a	k	a	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
128	CA226	QL1	M17	rro	rro	C	1	ka rro fa	ka rro fa	3	rr	o	rr	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
129	CA226	QL1	M17	fa	fa	C	1	ka rro fa	ka rro fa	3	f	a	f	a	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
130	CA226	QL1	M17	ma	ma	C	1	ma po	ma po	2	m	a	m	a	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
131	CA226	QL1	M17	po	po	C	1	ma po	ma po	2	p	o	p	o	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
132	CA226	QL2	M17	so	so	C	1	so ya	so ya	2	s	o	s	o	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
133	CA226	QL2	M17	ya	ya	C	1	so ya	so ya	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
134	CA226	QL2	M17	be	de	S	0	be ta	de ta	2	b	e	d	e	Ocl	Voiced	Frontal	Ocl	Voiced	Coronal	0	1	1	1	0	
135	CA226	QL2	M17	ta	ta	C	1	be ta	de ta	2	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
136	CA226	QL2	M17	me	me	C	1	me ze do ta	me ze do ta	4	m	e	m	e	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
137	CA226	QL2	M17	ze	ze	C	1	me ze do ta	me ze do ta	4	z	e	z	e	fric	Vless	Coronal	fric	Vless	Coronal	1	1	1	1	1	
138	CA226	QL2	M17	do	do	C	1	me ze do ta	me ze do ta	4	d	o	d	o	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
139	CA226	QL2	M17	ta	ta	C	1	me ze do ta	me ze do ta	4	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
140	CA226	QL2	M17	ko	ko	C	1	ko li ya	ko li ya	3	k	o	k	o	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
141	CA226	QL2	M17	li	li	C	1	ko li ya	ko li ya	3	l	i	l	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
142	CA226	QL2	M17	ya	ya	C	1	ko li ya	ko li ya	3	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
143	CA226	QL2	M17	bu	bu	C	1	bu de	bu de	2	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
144	CA226	QL2	M17	de	de	C	1	bu de	bu de	2	d	e	d	e	Ocl	Voiced	Coronal	Ocl	Voiced	Coronal	1	1	1	1	1	
145	CA226	QL2	M17	mo	mo	C	1	mo ku	mo ku	2	m	o	m	o	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
146	CA226	QL2	M17	ku	ku	C	1	mo ku	mo ku	2	k	u	k	u	Ocl	Vless	back	Ocl	Vless	back	1	1	1	1	1	
147	CA226	QL2	M17	lo	lo	C	1	lo ra	lo ra	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
148	CA226	QL2	M17	ra	ra	C	1	lo ra	lo ra	2	r	a	r	a	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
149	CA226	QL2	M17	mi	mi	C	1	mi ri fa	mi ri za	3	m	i	m	i	nas	Voiced	Frontal	nas	Voiced	Frontal	1	1	1	1	1	
150	CA226	QL2	M17	ri	ri	C	1	mi ri fa	mi ri za	3	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
151	CA226	QL2	M17	fa	za	S	0	mi ri fa	mi ri za	3	f	a	z	a	fric	Vless	Frontal	fric	Vless	Coronal	0	1	1	1	0	
152	CA226	QL2	M17	xe	xe	C	1	xe ta	xe ta	2	x	e	x	e	fric	Vless	back	fric	Vless	back	1	1	1	1	1	
153	CA226	QL2	M17	ta	ta	C	1	xe ta	xe ta	2	t	a	t	a	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
154	CA226	QL2	M17	bu	bu	C	1	bu fe lu	bu fe lu	3	b	u	b	u	Ocl	Voiced	Frontal	Ocl	Voiced	Frontal	1	1	1	1	1	
155	CA226	QL2	M17	fe	fe	C	1	bu fe lu	bu fe lu	3	f	e	f	e	fric	Vless	Frontal	fric	Vless	Frontal	1	1	1	1	1	
156	CA226	QL2	M17	lu	lu	C	1	bu fe lu	bu fe lu	3	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
